Sample ID	empo_0	empo_1	empo_2	empo_3	empo_4	empo_x
13114.pinto.63.s009	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s010	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s011	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s012	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s013	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s014	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s015	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s016	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s017	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s018	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s019	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s020	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s021	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s022	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s023	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s024	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s025	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s026	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s027	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s028	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.rohwer.84.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.84.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.84.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.84.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.85.s001	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s002	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s003	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s004	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s005	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s006	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s007	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s008	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s009	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s010	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s011	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s012	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s013	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s014	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s015	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s016	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s017	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s018	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s019	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s020	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s021	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s022	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s023	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s024	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s025	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s026	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s027	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.86.s001	EMP sample	Free-living	Free-living (s)	Aqueous (s)	Surface (saline)	Surface
13114.rohwer.86.s002	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.86.s003	EMP sample	Free-living	Free-living (s)	Aqueous (s)	Surface (saline)	Surface
13114.roy.chowdhury.45.s001	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s002	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s003	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s004	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s005	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s006	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s007	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s008	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s009	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s010	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s011	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s012	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s013	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s014	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s015	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s016	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s017	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s018	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s019	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s020	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s021	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s022	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s023	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s024	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.sandin.54.s001	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s002	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s003	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s004	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s005	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s006	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s007	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s008	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s009	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s010	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s011	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s012	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s013	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s014	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.sandin.54.s015	EMP sample	Host-associated	Host-associated (s)	Animal (s)	Animal proximal gut (saline)	Animal proximal gut
13114.schmidt.56.s001	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s002	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s003	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s004	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s009	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s010	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s011	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s012	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s013	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s014	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s015	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s016	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s017	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s018	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s019	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s020	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s021	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s022	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s023	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s024	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s025	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.schmidt.56.s026	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s001	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s002	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s003	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s004	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s009	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s010	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s011	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s012	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s013	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.seedorf.71.s014	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s001	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s002	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s003	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s004	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s009	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.shade.23.s010	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.smith.39.s001	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s002	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s003	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s004	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s005	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s006	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s007	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.smith.39.s008	EMP sample	Host-associated	Host-associated (s)	Plant (s)	Plant surface (saline)	Plant surface
13114.song.51.s001	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s002	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s003	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s004	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s005	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s006	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s007	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s008	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s009	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s010	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s011	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s012	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s013	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s014	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s015	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s016	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s017	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s018	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s019	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.51.s020	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s001	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s002	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s003	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s004	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s005	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s006	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s007	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s008	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s009	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s010	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s011	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s012	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s013	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s014	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.52.s015	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s001	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s002	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s003	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s004	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s005	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
